,date,open,high,low,close,volume
4492,2011-10-10,2108.604,2113.202,2081.264,2084.889,2288771000
4493,2011-10-11,2127.397,2135.689,2043.236,2071.079,3411263200
4494,2011-10-12,2058.137,2130.188,2037.57,2129.632,4612993600
4495,2011-10-13,2124.573,2153.088,2117.871,2150.647,4871444800
4496,2011-10-14,2144.506,2151.12,2123.63,2139.946,3480530400
4497,2011-10-17,2144.332,2160.323,2134.159,2148.695,3246053200
4498,2011-10-18,2134.194,2134.194,2087.237,2088.931,3611870400
4499,2011-10-19,2094.633,2104.242,2080.169,2084.232,2828207000
4500,2011-10-20,2074.451,2075.72,2024.824,2039.359,3319066000
4501,2011-10-21,2035.918,2039.372,2013.069,2016.426,2482358800
4502,2011-10-24,2019.899,2060.399,1998.269,2060.199,3410311200
4503,2011-10-25,2058.354,2105.056,2048.276,2100.283,4548087600
4504,2011-10-26,2090.118,2137.333,2087.211,2118.677,5685194400
4505,2011-10-27,2120.995,2137.596,2113.349,2119.615,4134562400
4506,2011-10-28,2144.411,2161.852,2142.165,2160.855,5439603200
4507,2011-10-31,2159.059,2163.435,2141.276,2154.328,4404169600
4508,2011-11-01,2137.738,2173.55,2133.676,2155.344,4535044400
4509,2011-11-02,2126.916,2183.56,2117.379,2182.589,5653617600
4510,2011-11-03,2189.049,2215.741,2187.882,2191.47,7553972800
4511,2011-11-04,2207.335,2221.526,2198.64,2214.637,5724596000
4512,2011-11-07,2207.598,2228.396,2201.142,2204.519,4583507200
4513,2011-11-08,2208.977,2220.253,2196.169,2199.95,4609040800
4514,2011-11-09,2207.8,2221.767,2184.221,2218.422,4227979200
4515,2011-11-10,2195.891,2207.885,2182.735,2183.264,4708418800
4516,2011-11-11,2189.431,2197.581,2176.194,2183.037,3703426400
4517,2011-11-14,2200.373,2227.349,2198.205,2226.764,4659788400
4518,2011-11-15,2225.112,2236.525,2221.591,2233.431,4805412000
4519,2011-11-16,2233.08,2233.142,2167.065,2175.909,5413508000
4520,2011-11-17,2177.422,2193.672,2170.578,2174.847,3738459200
4521,2011-11-18,2160.073,2160.073,2120.704,2125.418,4109544000
4522,2011-11-21,2124.054,2128.144,2106.441,2124.509,2886662800
4523,2011-11-22,2109.888,2121.186,2094.615,2120.222,2860314200
4524,2011-11-23,2123.039,2126.807,2101.5,2103.64,2827494400
4525,2011-11-24,2088.294,2111.894,2077.064,2100.825,3001891000
4526,2011-11-25,2098.818,2111.222,2083.147,2089.416,2631626000
4527,2011-11-28,2093.941,2105.903,2081.745,2093.745,2618061200
4528,2011-11-29,2108.992,2122.648,2098.653,2121.865,3246774400
4529,2011-11-30,2116.151,2116.563,2028.037,2043.206,4184330800
4530,2011-12-01,2092.657,2117.031,2077.067,2083.492,4971199200
4531,2011-12-02,2074.166,2077.178,2043.929,2056.004,3349032000
4532,2011-12-05,2058.183,2058.183,2017.337,2022.817,2842329200
4533,2011-12-06,2016.76,2028.068,2005.883,2024.39,2543531200
4534,2011-12-07,2024.43,2036.566,2017.906,2030.296,2327611800
4535,2011-12-08,2026.693,2042.478,2000.414,2024.592,2853379600
4536,2011-12-09,2011.544,2024.411,2002.812,2007.09,2238848000
4537,2011-12-12,2004.886,2007.554,1979.988,1981.33,2069563200
4538,2011-12-13,1972.998,1973.027,1932.979,1935.93,3169941400
4539,2011-12-14,1929.448,1943.518,1911.78,1915.773,2439248200
4540,2011-12-15,1900.759,1900.759,1865.054,1867.507,3034727600
4541,2011-12-16,1866.403,1906.209,1859.541,1905.396,2960064000
4542,2011-12-19,1891.849,1901.979,1849.468,1898.775,2916853800
4543,2011-12-20,1890.108,1916.923,1887.449,1896.419,2935759200
4544,2011-12-21,1909.402,1916.441,1869.853,1871.144,2783766400
4545,2011-12-22,1857.308,1881.527,1828.148,1866.5,3183630400
4546,2011-12-23,1863.286,1900.178,1859.029,1886.268,2830722800
4547,2011-12-26,1876.287,1895.226,1868.189,1870.143,2432530000
4548,2011-12-27,1867.305,1869.827,1836.801,1840.927,2382793200
4549,2011-12-28,1832.622,1845.767,1812.824,1844.881,2513085000
4550,2011-12-29,1838.383,1857.234,1835.027,1849.517,2467356800
4551,2011-12-30,1853.213,1873.376,1853.213,1870.229,2627783000
4552,2012-01-04,1883.65,1891.709,1841.381,1841.822,2632254000
4553,2012-01-05,1833.248,1845.042,1809.267,1811.93,2745893600
4554,2012-01-06,1814.502,1827.388,1795.121,1826.029,2509811200
4555,2012-01-09,1827.66,1891.449,1810.193,1890.928,3944349600
4556,2012-01-10,1887.592,1952.836,1883.331,1950.618,5885908400
4557,2012-01-11,1948.313,1958.655,1932.38,1943.16,4947014400
4558,2012-01-12,1935.206,1959.014,1931.763,1943.326,3962148000
4559,2012-01-13,1945.683,1949.297,1894.405,1915.008,4075257600
4560,2012-01-16,1900.394,1909.167,1870.399,1870.586,2735160800
4561,2012-01-17,1871.98,1962.8,1864.595,1962.8,4830225200
4562,2012-01-18,1966.182,1978.291,1923.758,1933.61,5085551200
4563,2012-01-19,1932.185,1966.402,1924.273,1955.962,3762945600
4564,2012-01-20,1959.538,1977.95,1951.182,1972.373,3471962000
4565,2012-01-30,1978.644,1979.575,1948.379,1949.389,2994116400
4566,2012-01-31,1949.007,1958.163,1939.784,1956.836,2731116000
4567,2012-02-01,1953.142,1973.763,1933.043,1937.648,3072776000
4568,2012-02-02,1942.317,1967.55,1936.874,1966.981,3286317600
4569,2012-02-03,1962.854,1985.569,1955.636,1981.496,4275448400
4570,2012-02-06,1986.419,1995.799,1975.319,1988.311,4347780800
4571,2012-02-07,1976.942,1976.942,1942.546,1955.363,3847700800
4572,2012-02-08,1956.969,2012.049,1951.463,2006.215,5189739200
4573,2012-02-09,2002.146,2022.393,1994.588,2010.294,5732676800
4574,2012-02-10,2003.604,2024.644,2001.984,2014.806,5296751200
4575,2012-02-13,1997.003,2032.207,1991.864,2020.095,4884948000
4576,2012-02-14,2018.609,2023.334,2007.278,2017.172,4250572000
4577,2012-02-15,2013.542,2044.061,2008.8,2038.962,5655811600
4578,2012-02-16,2035.236,2044.987,2011.729,2026.236,5396468800
4579,2012-02-17,2033.782,2039.415,2011.187,2022.829,4145231200
4580,2012-02-20,2044.005,2049.853,2028.189,2029.375,5122234800
4581,2012-02-21,2030.726,2043.006,2009.753,2042.419,4799573200
4582,2012-02-22,2042.239,2065.655,2038.019,2065.655,6448959600
4583,2012-02-23,2064.777,2082.198,2061.46,2075.316,6711352000
4584,2012-02-24,2077.292,2102.694,2071.543,2101.491,7014478400
4585,2012-02-27,2110.737,2144.384,2106.972,2112.372,8463030400
4586,2012-02-28,2106.665,2118.413,2090.968,2112.289,6569712800
4587,2012-02-29,2107.376,2118.547,2092.561,2094.13,5287852000
4588,2012-03-01,2083.167,2101.534,2082.006,2091.115,4343591200
4589,2012-03-02,2095.668,2124.877,2095.668,2124.257,5601173600
4590,2012-03-05,2126.641,2135.136,2112.498,2114.971,6273149200
4591,2012-03-06,2109.618,2111.68,2078.678,2083.164,5916315200
4592,2012-03-07,2065.488,2088.602,2062.942,2069.055,5602789600
4593,2012-03-08,2075.256,2097.276,2074.912,2091.359,5310034800
4594,2012-03-09,2096.93,2116.009,2088.989,2115.411,5399326400
4595,2012-03-12,2117.206,2121.872,2104.427,2116.723,5906794000
4596,2012-03-13,2114.825,2137.073,2111.234,2136.481,6270390000
4597,2012-03-14,2143.621,2151.753,2060.487,2070.044,10392684800
4598,2012-03-15,2066.273,2080.347,2041.062,2054.623,6959138400
4599,2012-03-16,2057.321,2089.245,2049.623,2088.573,5953880800
4600,2012-03-19,2086.856,2100.538,2070.493,2099.344,5954064800
4601,2012-03-20,2099.488,2099.488,2068.347,2069.398,5706718400
4602,2012-03-21,2073.893,2091.357,2054.09,2072.387,5726432400
4603,2012-03-22,2070.667,2074.172,2055.153,2061.33,4333369600
4604,2012-03-23,2056.242,2056.46,2028.154,2036.561,4457455200
4605,2012-03-26,2034.858,2043.46,2024.195,2036.284,3281412400
4606,2012-03-27,2042.954,2050.758,2029.068,2031.808,3635672400
4607,2012-03-28,2024.704,2024.704,1961.496,1964.77,4750249600
4608,2012-03-29,1956.64,1959.496,1920.608,1931.218,4012300800
4609,2012-03-30,1934.791,1943.862,1915.203,1929.98,3329211200
4610,2012-04-05,1928.168,1974.606,1923.196,1973.357,4134088000
4611,2012-04-06,1973.063,1983.543,1964.325,1978.713,4085515600
4612,2012-04-09,1973.042,1976.351,1957.185,1958.588,3450172000
4613,2012-04-10,1954.415,1975.204,1930.116,1975.043,3920211600
4614,2012-04-11,1956.543,1985.354,1948.783,1978.581,4079523600
4615,2012-04-12,1980.986,2014.677,1979.652,2014.231,5159890000
4616,2012-04-13,2015.57,2030.429,2009.152,2021.485,5183909600
4617,2012-04-16,2009.871,2025.673,2005.895,2019.64,4392917600
4618,2012-04-17,2018.0,2025.254,1999.923,2000.89,4398595600
4619,2012-04-18,2006.577,2043.475,2004.668,2040.407,5690335600
4620,2012-04-19,2039.692,2045.101,2026.741,2035.125,4951017600
4621,2012-04-20,2031.159,2052.762,2028.151,2051.289,5429728400
4622,2012-04-23,2048.863,2053.537,2029.195,2033.756,6175130400
4623,2012-04-24,2026.426,2049.937,1990.129,2024.422,6372944000
4624,2012-04-25,2019.318,2048.584,2013.953,2045.082,6620416000
4625,2012-04-26,2046.256,2055.76,2037.06,2047.172,5953658800
4626,2012-04-27,2043.12,2050.112,2038.094,2040.941,4497894800
4627,2012-05-02,2061.415,2089.151,2050.491,2083.845,6479420400
4628,2012-05-03,2079.679,2087.995,2076.366,2086.707,5358536800
4629,2012-05-04,2084.777,2100.658,2077.537,2099.243,5609530400
4630,2012-05-07,2090.577,2101.674,2082.871,2101.31,5949967200
